BergLeaderM			~kKing Aaron Leone sighs and says, "One day I will be able to pass away and not leave a family member, because unfortunately my wife can no longer bear offspring. If only Jala could help us."
BergLeaderM			~kKing Aaron Leone smiles contentedly and says, "Although I could not leave a son to inherit, my beloved wife and I were allowed to give birth to three wonderful daughters."
BergLeaderM			~kKing Aaron Leone looks sad and says, "My advisors repeatedly asked me to procreate a bastard. But they just do not know how much I love my wife and that I could never do this to her. Do you understand me?"
BergLeaderM			~kKing Aaron Leone says, "For the safety of Berg and its inhabitants! Always remember that when you leave our gates to fight the monsters that threaten our city."
BergLeaderM			~kKing Aaron Leone softly speaks to you: "There is so much that worries me. Oh, I wished there would be someone with whom I could talk openly about it. Maybe with you?"
BergLeaderM			~kKing Aaron Leone says, "Do you know Harold d'Adue? He's my treasurer and takes good care of our auction house in Berg. If you need something, just ask him."
BergLeaderM			~kKing Aaron Leone is scratching his head nervously and worriedly as he looks at you.
BergLeaderM			~kIn between, King Aaron Leone seems absent-minded and mumbles incomprehensible sentences as he gestures wildly with his hands that span his scepter.
BergLeaderM			~kAs you enter the room, you can watch one of the advisors of King Aaron Leone quickly leave. Apparently, he was in a hurry."
BergBlacksmith			~kAs you enter the little forge, Frederick Merk sings a wonderful sounding song that you have never heard before. But unfortunately, he stops immediately when he look at you.
BergBlacksmith			~kFrederick Merk says, "Please forgive me if I sing in between, but the hard work on the hot forge keeps on delighting me and reminds me of an old friend."
BergBlacksmith			~kAs you ask Frederick Merk on his past, a small tear rolls down his cheek, which he quickly wipes away with his filthy hand and then wordlessly continue with his work. This time, however, very focused and without singing.
BergBlacksmith			~kFrederick Merk sits down and begins to tell: "You know, I sometimes miss Jixa. But the local Inkeeper and I... well, it just did not fit. Do you understand?"
BergBlacksmith			~kFrederick Merk says, "Did you know that the Inkeeper in Jixa is the secret leader of a thieves' guild? But that does not seem to interest anyone there and here."
BergBlacksmith			~kFrederick Merk whispers to you: "Shhh! Do you know the blacksmith from Jixa? Maybe you came over there and know how he's doing? I miss him so much, but I had to go."
BergBlacksmith			~kFrederick Merk sighs and continues his work.
BergBlacksmith			~kFrederick Merk sings a stanza of a song unknown to you and then tells, "Maybe I would've become one of the greatest bards that this world has ever seen. But they had no understanding for my extraordinary love and therefore I had to leave the temple of Jala unfortunately. But better keep that for you."
BergBlacksmith			~kFrederick Merk says, "Do you know Harold d'Adue, our auctioneer of Berg? Harold is a good human. He has taken care of me a lot and always has an open ear for me. Without him, I would certainly have the same trouble here as I had in Jixa."
BergBlacksmith			~kFrederick Merk says, "Hello! May I forge a weapon or armor for you?"
BergBlacksmith			~kFrederick Merk says, "You look like someone who has had a long and difficult journey. Maybe even longer and heavier than mine was. How can I serve you?"
BergBlacksmith			~kFrederick Merk says, "If you cannot find what you'e looking for, visit my good friend Harold at the auction house. Maybe he can get what you're looking for?".
